our_slug	image_url	polycab_page
industries/cables-by-application/aerospace-industry	https://cms.polycab.com/media/xlydd3fg/bsmv00149_img_01.png	https://polycab.com/cables/applications/mobility-infrastructure/aerospace-industry
industries/cables-by-application/commercial	https://cms.polycab.com/media/iudgas3h/asca00461_img_01.png	https://polycab.com/cables/applications/building-infrastructure/commercial
industries/cables-by-application/cement-industry	https://cms.polycab.com/media/w13jmfix/icpc00297_img_01.png	https://polycab.com/cables/applications/manufacturing-industries/cement-industry
industries/cables-by-application/building-infrastructure	https://cms.polycab.com/media/dgaech14/residential.png	https://polycab.com/cables/applications/building-infrastructure
industries/cables-by-application/automation-and-process-control	https://cms.polycab.com/media/oxffrryn/isid00404_img_01.png	https://polycab.com/cables/applications/manufacturing-industries/automation-process-control
industries/cables-by-application/exploration-industries	https://cms.polycab.com/media/dgaech14/residential.png	https://polycab.com/cables/applications/exploration-industries
industries/cables-by-application/defence-and-armaments-industry	https://cms.polycab.com/media/cyfh25ky/enrc00443_img_01.png	https://polycab.com/cables/applications/mobility-infrastructure/defence-armaments-industry
industries/cables-by-application/energy-and-power-grid	https://cms.polycab.com/media/dgaech14/residential.png	https://polycab.com/cables/applications/energy-and-power-grid
industries/cables-by-application/datacenters	https://cms.polycab.com/media/hbbnl5vz/enfl00109_img_01.png	https://polycab.com/cables/applications/building-infrastructure/datacenters
industries/cables-by-application/food-and-beverages	https://cms.polycab.com/media/pwrge0zq/isid00477_img_01.png	https://polycab.com/cables/applications/manufacturing-industries/food-beverages
industries/cables-by-application/mobility-infrastructure	https://cms.polycab.com/media/dgaech14/residential.png	https://polycab.com/cables/applications/mobility-infrastructure
industries/cables-by-application/manufacturing-industries	https://cms.polycab.com/media/dgaech14/residential.png	https://polycab.com/cables/applications/manufacturing-industries
industries/cables-by-application/mining-drilling-and-tunneling	https://cms.polycab.com/media/ey2gljta/ismv00460_img_01.png	https://polycab.com/cables/applications/exploration-industries/mining-drilling-and-tunneling
industries/cables-by-application/it-industry	https://cms.polycab.com/media/w13jmfix/icpc00297_img_01.png	https://polycab.com/cables/applications/building-infrastructure/it-industry
industries/cables-by-application/healthcare	https://cms.polycab.com/media/hvajt10t/ishw00111_img_01.png	https://polycab.com/cables/applications/manufacturing-industries/healthcare
industries/cables-by-application/mass-transit-railways-and-marine	https://cms.polycab.com/media/wwwa5v3u/bsmv00125_img_01.png	https://polycab.com/cables/applications/mobility-infrastructure/mass-transit-railways-marine
industries/cables-by-application/oil-gas-and-petrochemical	https://cms.polycab.com/media/z5ont4wq/iepc00311_img_01.png	https://polycab.com/cables/applications/exploration-industries/oil-gas-petrochemical
industries/cables-by-application/power-and-network	https://cms.polycab.com/media/nghfa3p3/bspc00383_img_01.png	https://polycab.com/cables/applications/energy-and-power-grid/power-network
industries/cables-by-application/metal-industry	https://cms.polycab.com/media/s3spwaes/isfl00058_img_01.png	https://polycab.com/cables/applications/manufacturing-industries/metal-industry
industries/cables-by-application/pharmaceutical-industry	https://cms.polycab.com/media/w13jmfix/icpc00297_img_01.png	https://polycab.com/cables/applications/manufacturing-industries/pharmaceutical-industry
industries/cables-by-application/service-entrance	https://cms.polycab.com/media/1wjjaw5f/ulpc00078_img_01.png	https://polycab.com/cables/applications/energy-and-power-grid/service-entrance
industries/cables-by-application/renewable-energy	https://cms.polycab.com/media/kwef34ef/enre00417_img_01.png	https://polycab.com/cables/types/renewable-energy
industries/cables-by-application/sugar-industry	https://cms.polycab.com/media/w13jmfix/icpc00297_img_01.png	https://polycab.com/cables/applications/manufacturing-industries/sugar-industry
industries/cables-by-standards/bs-6622	https://cms.polycab.com/media/cowclnj4/bsmv00147_img_01.png	https://polycab.com/cables/standards/international-standards/bs-6622
industries/cables-by-application/residential	https://cms.polycab.com/media/hvajt10t/ishw00111_img_01.png	https://polycab.com/cables/applications/building-infrastructure/residential
industries/cables-by-application/telecommunication	https://cms.polycab.com/media/iudgas3h/asca00461_img_01.png	https://polycab.com/cables/applications/building-infrastructure/telecommunication
industries/cables-by-application/water-treatment-and-waste-disposal	https://cms.polycab.com/media/w13jmfix/icpc00297_img_01.png	https://polycab.com/cables/applications/manufacturing-industries/water-treatment-and-waste-disposal
industries/cables-by-application/utility	https://cms.polycab.com/media/vjef24oc/ulpc00367_img_01.png	https://polycab.com/cables/applications/energy-and-power-grid/utility
industries/cables-by-standards/ansinema-wc-74icea-s-93-639	https://cms.polycab.com/media/cwdpvi4q/ulpc00351_img_01.png	https://polycab.com/cables/standards/international-standards/ansinema-wc-74icea-s-93-639
industries/cables-by-standards/ansiicea-s-93-639	https://cms.polycab.com/media/w3bjvpwb/iamv00257_img_01.png	https://polycab.com/cables/standards/international-standards/ansiicea-s-93-639
industries/cables-by-standards/asnzs-14291	https://cms.polycab.com/media/jivknufy/anmv00216_img_01.png	https://polycab.com/cables/standards/international-standards/asnzs-14291
industries/cables-by-standards/as-nzs-5000	https://cms.polycab.com/media/ubfcnmx3/anre00408_img_01.png	https://polycab.com/cables/standards/international-standards/as-nzs-5000
industries/cables-by-standards/bs-6004	https://cms.polycab.com/media/3awlmmkx/bsid00391_img_01.png	https://polycab.com/cables/standards/international-standards/bs-6004
industries/cables-by-standards/ansiscte-74	https://cms.polycab.com/media/iudgas3h/asca00461_img_01.png	https://polycab.com/cables/standards/international-standards/ansiscte-74
industries/cables-by-standards/bs-5467	https://cms.polycab.com/media/14rp35it/plfa00045_img_01.png	https://polycab.com/cables/standards/international-standards/bs-5467
industries/cables-by-standards/bs-7835	https://cms.polycab.com/media/wwwa5v3u/bsmv00125_img_01.png	https://polycab.com/cables/standards/international-standards/bs-7835
industries/cables-by-standards/bs-6231	https://cms.polycab.com/media/bawpudkr/bspw00069_img_01.png	https://polycab.com/cables/standards/international-standards/bs-6231
industries/cables-by-standards/bs-7629-1	https://cms.polycab.com/media/oqaktmki/bsfs00090_img_01.png	https://polycab.com/cables/standards/international-standards/bs-7629-1
industries/cables-by-standards/bs-6724	https://cms.polycab.com/media/nghfa3p3/bspc00383_img_01.png	https://polycab.com/cables/standards/international-standards/bs-6724
industries/cables-by-standards/bs-7211	https://cms.polycab.com/media/bp3gf2si/bsid00398_img_01.png	https://polycab.com/cables/standards/international-standards/bs-7211
industries/cables-by-standards/bs-7870-4-10	https://cms.polycab.com/media/qtjl1y2n/bsmv00160_img_01.png	https://polycab.com/cables/standards/international-standards/bs-7870-4-10
industries/cables-by-standards/bs-7846	https://cms.polycab.com/media/abhbso2b/bsfs00087_img_01.png	https://polycab.com/cables/standards/international-standards/bs-7846
industries/cables-by-standards/bs-en-50525-2-51	https://cms.polycab.com/media/oshkuy04/encc00427_img_01.png	https://polycab.com/cables/standards/international-standards/bs-en-50525-2-51
industries/cables-by-standards/bs-8592	https://cms.polycab.com/media/5swhgel3/bsfs00093_img_01.png	https://polycab.com/cables/standards/international-standards/bs-8592
industries/cables-by-standards/bs-7870-4-20	https://cms.polycab.com/media/ingnj31w/bspc00352_img_01.png	https://polycab.com/cables/standards/international-standards/bs-7870-4-20
industries/cables-by-standards/bsen-50525-2-21	https://cms.polycab.com/media/cyfh25ky/enrc00443_img_01.png	https://polycab.com/cables/standards/international-standards/bsen-50525-2-21
industries/cables-by-standards/bsen-50525-2-41	https://cms.polycab.com/media/wc4hphpi/enrc00121_img_01.png	https://polycab.com/cables/standards/international-standards/bsen-50525-2-41
industries/cables-by-standards/bsen-50288-7	https://cms.polycab.com/media/zv2n1vdp/bsit00038_img_01.png	https://polycab.com/cables/standards/international-standards/bsen-50288-7
industries/cables-by-standards/bsen-50525-2-31	https://cms.polycab.com/media/jb4fv3gw/iccc00318_img_01.png	https://polycab.com/cables/standards/international-standards/bsen-50525-2-31
industries/cables-by-standards/bsen-50525-2-11	https://cms.polycab.com/media/mruhjcka/bsid00423_img_01.png	https://polycab.com/cables/standards/international-standards/bsen-50525-2-11
industries/cables-by-standards/bsen-50525-2-81	https://cms.polycab.com/media/vm0kyu4x/enrc00448_img_01.png	https://polycab.com/cables/standards/international-standards/bsen-50525-2-81
industries/cables-by-standards/icea-s-108-720	https://cms.polycab.com/media/ppwdw0wm/iceh00329_img_01.png	https://polycab.com/cables/standards/international-standards/icea-s-108-720
industries/cables-by-standards/bsen-50525-3-41	https://cms.polycab.com/media/hbbnl5vz/enfl00109_img_01.png	https://polycab.com/cables/standards/international-standards/bsen-50525-3-41
industries/cables-by-standards/bsen-50618	https://cms.polycab.com/media/kwef34ef/enre00417_img_01.png	https://polycab.com/cables/standards/international-standards/bsen-50618
industries/cables-by-standards/bsen-50525-3-11	https://cms.polycab.com/media/0y3ftxfv/enrl00450_img_01.png	https://polycab.com/cables/standards/international-standards/bsen-50525-3-11
