title	our_slug
Air Circulator Fans	fans/air-circulator
Design Series	fans/ceiling-fans/design-series
Irons	home-appliances/irons
Celebration Series	fans/ceiling-fans/celebration-series
Instant Water Heaters	home-appliances/water-heaters/instant-water-heaters
Domestic Fans	fans/exhaust-fans/industrial-fans
Pedestal Fans	fans/pedestal-fans
UPVC Conduit	conduit-accessories/upvc-conduit
Ceiling Fans	fans/ceiling-fans
Exhaust Fans	fans/exhaust-fans
COOLER	home-appliances/coolers
Dry Iron	home-appliances/irons/dry-iron
Steam Iron	home-appliances/irons/steam-iron
Earthing Tag	gland/earthing-tag
Double Compression Gland	gland/double-compression-gland
Flang Type Gland	gland/flang-type-gland
Shrouds	gland/shrouds
Storage Water Heaters	home-appliances/water-heaters/storage-water-heaters
Polycab H05V2V2-F&H05V2V2H2-F BSEN	industries/cables-by-application/automation-and-process-control/polycab-h05v2v2-fandh05v2v2h2-f-bsen-50525-2-11-mc-300500v-ac
Polycab H03Z1Z1H2-F/H05Z1Z1H2-F BSEN	industries/cables-by-application/commercial/polycab-h03z1z1h2-fh05z1z1h2-f-bsen-50525-3-11
Polycab H05Z-K/H07Z-K BSEN	industries/cables-by-application/datacenters/polycab-h05z-kh07z-k-bsen
Polycab H05Z-U/H07Z-U BSEN 50525-3-41	industries/cables-by-application/datacenters/polycab-h05z-uh07z-u-bsen-50525-3-41
Polycab H03V2V2-F&H03V2V2H2-F BSEN	industries/cables-by-application/commercial/polycab-h03v2v2-fandh03v2v2h2-f-bsen-50525-2-11-mc-300300v-ac
Polycab Etira 32A Motor Starter	switches-accessories/etira/32a-motor-starter
Polycab Etira Blank Plate	switches-accessories/etira/blank-plate
Polycab Etira Dimmer	switches-accessories/etira/dimmer
Polycab Etira Dnd / Mmr Internal Unit	switches-accessories/etira/dnd-mmr-internal-unit
Polycab Etira DP Switch	switches-accessories/etira/dp-switch
Polycab 300/500V AC Armoured Cable	industries/cables-by-application/telecommunication/polycab-300500v-ac-armoured-cable
Polycab EHV AL CS+PB 132kV	industries/cables-by-application/utility/polycab-ehv-al-cspb-132kv
Polycab EHV AL CS+PAL 132kV	industries/cables-by-application/utility/polycab-ehv-al-cspal-132kv
Polycab EHV AL CS+PAL 220kV	industries/cables-by-application/utility/polycab-ehv-al-cspal-220kv
Polycab EHV AL CS+PB 220kV	industries/cables-by-application/utility/polycab-ehv-al-cspb-220kv
Polycab EHV Cu CS+PAL 132kV	industries/cables-by-application/utility/polycab-ehv-cu-cspal-132kv
Polycab EHV Cu CS+PAL 220kV	industries/cables-by-application/utility/polycab-ehv-cu-cspal-220kv
Polycab EHV Cu CS+PB 66kV	industries/cables-by-application/utility/polycab-ehv-cu-cspb-66kv
Polycab Etira RJ-11	switches-accessories/etira/rj-11
Polycab Etira SP Mini MCB	switches-accessories/etira/sp-mini-mcb
Polycab Etira 32A Key Tag Unit	switches-accessories/etira/32a-key-tag-unit
Polycab MV Cu BS 7835 3.8/6.6kV	industries/cables-by-application/utility/polycab-mv-cu-bs-7835-3.8-6.6kv
Polycab Etira Colour Plate With Chrome Collar - Silvaz	switches-accessories/etira/colour-plate-with-chrome-collar-silvaz
Polycab Levana Card Only	switches-accessories/levana/card-only
Polycab Levana Night Lamp	switches-accessories/levana/night-lamp
Polycab Levana Valencia	switches-accessories/levana/valencia
Polycab H03V2V2-F&H03V2V2H2-F BSEN	industries/cables-by-standards/bsen-50525-2-11/polycab-h03v2v2-fandh03v2v2h2-f-bsen-50525-2-11-mc-300300v-ac
Polycab H05V2V2-F&H05V2V2H2-F BSEN	industries/cables-by-standards/bsen-50525-2-11/polycab-h05v2v2-fandh05v2v2h2-f-bsen-50525-2-11-mc-300500v-ac
Polycab EHV Cu CS+PB 220kV	industries/cables-by-application/utility/polycab-ehv-cu-cspb-220kv
Polycab EHV AL CS+PB 110kV	industries/cables-by-standards/iec-60840/polycab-ehv-al-cspb-110kv
Polycab EHV AL CS+PB 220kV	industries/cables-by-standards/iec-60840/polycab-ehv-al-cspb-220kv
Polycab EHV AL CS+PB 66kV	industries/cables-by-standards/iec-60840/polycab-ehv-al-cspb-66kv
Polycab EHV AL CS+PAL 110kV	industries/cables-by-standards/iec-60840/polycab-ehv-al-cspal-110kv
Polycab EHV Cu CS+PAL 110kV	industries/cables-by-standards/iec-60840/polycab-ehv-cu-cspal-110kv
Polycab EHV Cu CS+PAL 220kV	industries/cables-by-standards/iec-60840/polycab-ehv-cu-cspal-220kv
Polycab EHV Cu CS+PAL 132kV	industries/cables-by-standards/iec-60840/polycab-ehv-cu-cspal-132kv
Polycab EHV Cu CS+PB 132kV	industries/cables-by-standards/iec-60840/polycab-ehv-cu-cspb-132kv
Polycab EHV Cu CS+PB 220kV	industries/cables-by-standards/iec-60840/polycab-ehv-cu-cspb-220kv
Cables for Polycab Standard	industries/cables-by-standards/polycab-standard-inter
Polycab EHV Cu CS+PB 110kV	industries/cables-by-type/ehv-power-cable/polycab-ehv-cu-cspb-110kv
Polycab EHV Cu CS+PB 66kV	industries/cables-by-type/ehv-power-cable/polycab-ehv-cu-cspb-66kv
Polycab EHV Cu CS+PB 220kV	industries/cables-by-type/ehv-power-cable/polycab-ehv-cu-cspb-220kv
Polycab EHV Cu CS+PAL 220kV	industries/cables-by-type/ehv-power-cable/polycab-ehv-cu-cspal-220kv
Polycab Etira Buzzer	switches-accessories/etira/buzzer
Polycab Etira DP Mini MCB	switches-accessories/etira/dp-mini-mcb
Polycab Etira TV Socket	switches-accessories/etira/tv-socket
Polycab Etira USB Charger	switches-accessories/etira/usb-charger
Polycab Etira Standard Plate - Stylaz	switches-accessories/etira/standard-plate-stylaz
Polycab Levana Caprina	switches-accessories/levana/caprina
Polycab Levana Shrink Sleeve	switches-accessories/levana/shrink-sleeve
Polycab Plastic Modular Boxes Surface Mounted	switches-accessories/plastic-modular-boxes/surface-mounted
Cables By Application	polycab/cables-by-application
Cables By Standards	polycab/cables-by-standards
Cables By Type	polycab/cables-by-type
Solar Grid Tie Inverter	solar/solar-grid-tie-inverter
Foot Hydroulic Crimping Tool	dowells/crimping-tool/foot-hydrolic-crimping-tool
Hand Hydroulic Crimping Tool	dowells/crimping-tool/hand-hydrolic-crimping-tool
Polycab 300/500V AC Unarmoured Cable	industries/cables-by-application/telecommunication/polycab-300500v-ac-unarmoured-cable
Polycab Suprema	wires/polycab-suprema
Polycab H05V2V2-F&H05V2V2H2-F BSEN	industries/cables-by-application/commercial/polycab-h05v2v2-fandh05v2v2h2-f-bsen-50525-2-11-mc-300500v-ac
Polycab Primma	wires/polycab-primma
Polycab EHV AL CS+PB 66kV	industries/cables-by-application/utility/polycab-ehv-al-cspb-66kv
Polycab EHV Cu CS+PB 110kV	industries/cables-by-application/utility/polycab-ehv-cu-cspb-110kv
Polycab EHV Cu CS+PAL 66kV	industries/cables-by-standards/iec-60840/polycab-ehv-cu-cspal-66kv
Polycab EHV Cu CS+PB 110kV	industries/cables-by-standards/iec-60840/polycab-ehv-cu-cspb-110kv
