our_slug	polycab_url
industries/cables-by-application/aerospace-industry	https://polycab.com/cables/applications/mobility-infrastructure/aerospace-industry
industries/cables-by-application/automation-and-process-control	https://polycab.com/cables/applications/manufacturing-industries/automation-process-control
industries/cables-by-application/building-infrastructure	https://polycab.com/cables/applications/building-infrastructure
industries/cables-by-application/cement-industry	https://polycab.com/cables/applications/manufacturing-industries/cement-industry
industries/cables-by-application/commercial	https://polycab.com/cables/applications/building-infrastructure/commercial
industries/cables-by-application/datacenters	https://polycab.com/cables/applications/building-infrastructure/datacenters
industries/cables-by-application/defence-and-armaments-industry	https://polycab.com/cables/applications/mobility-infrastructure/defence-armaments-industry
industries/cables-by-application/energy-and-power-grid	https://polycab.com/cables/applications/energy-and-power-grid
industries/cables-by-application/exploration-industries	https://polycab.com/cables/applications/exploration-industries
industries/cables-by-application/food-and-beverages	https://polycab.com/cables/applications/manufacturing-industries/food-beverages
industries/cables-by-application/healthcare	https://polycab.com/cables/applications/manufacturing-industries/healthcare
industries/cables-by-application/it-industry	https://polycab.com/cables/applications/building-infrastructure/it-industry
industries/cables-by-application/manufacturing-industries	https://polycab.com/cables/applications/manufacturing-industries
industries/cables-by-application/mining-drilling-and-tunneling	https://polycab.com/cables/applications/exploration-industries/mining-drilling-and-tunneling
industries/cables-by-application/mobility-infrastructure	https://polycab.com/cables/applications/mobility-infrastructure
industries/cables-by-application/mass-transit-railways-and-marine	https://polycab.com/cables/applications/mobility-infrastructure/mass-transit-railways-marine
industries/cables-by-application/metal-industry	https://polycab.com/cables/applications/manufacturing-industries/metal-industry
industries/cables-by-application/oil-gas-and-petrochemical	https://polycab.com/cables/applications/exploration-industries/oil-gas-petrochemical
industries/cables-by-application/pharmaceutical-industry	https://polycab.com/cables/applications/manufacturing-industries/pharmaceutical-industry
industries/cables-by-application/power-and-network	https://polycab.com/cables/applications/energy-and-power-grid/power-network
industries/cables-by-application/renewable-energy	https://polycab.com/cables/types/renewable-energy
industries/cables-by-application/residential	https://polycab.com/cables/applications/building-infrastructure/residential
industries/cables-by-application/service-entrance	https://polycab.com/cables/applications/energy-and-power-grid/service-entrance
industries/cables-by-standards/bs-6622	https://polycab.com/cables/standards/international-standards/bs-6622
industries/cables-by-application/sugar-industry	https://polycab.com/cables/applications/manufacturing-industries/sugar-industry
industries/cables-by-application/telecommunication	https://polycab.com/cables/applications/building-infrastructure/telecommunication
industries/cables-by-application/utility	https://polycab.com/cables/applications/energy-and-power-grid/utility
industries/cables-by-application/water-treatment-and-waste-disposal	https://polycab.com/cables/applications/manufacturing-industries/water-treatment-and-waste-disposal
industries/cables-by-standards/ansiicea-s-93-639	https://polycab.com/cables/standards/international-standards/ansiicea-s-93-639
industries/cables-by-standards/ansinema-wc-74icea-s-93-639	https://polycab.com/cables/standards/international-standards/ansinema-wc-74icea-s-93-639
industries/cables-by-standards/ansiscte-74	https://polycab.com/cables/standards/international-standards/ansiscte-74
industries/cables-by-standards/as-nzs-5000	https://polycab.com/cables/standards/international-standards/as-nzs-5000
industries/cables-by-standards/asnzs-14291	https://polycab.com/cables/standards/international-standards/asnzs-14291
industries/cables-by-standards/bs-5467	https://polycab.com/cables/standards/international-standards/bs-5467
industries/cables-by-standards/bs-6004	https://polycab.com/cables/standards/international-standards/bs-6004
industries/cables-by-standards/bs-6231	https://polycab.com/cables/standards/international-standards/bs-6231
industries/cables-by-standards/bs-6724	https://polycab.com/cables/standards/international-standards/bs-6724
industries/cables-by-standards/bs-7211	https://polycab.com/cables/standards/international-standards/bs-7211
industries/cables-by-standards/bs-7629-1	https://polycab.com/cables/standards/international-standards/bs-7629-1
industries/cables-by-standards/bs-7835	https://polycab.com/cables/standards/international-standards/bs-7835
industries/cables-by-standards/bs-7846	https://polycab.com/cables/standards/international-standards/bs-7846
industries/cables-by-standards/bs-7870-4-10	https://polycab.com/cables/standards/international-standards/bs-7870-4-10
industries/cables-by-standards/bs-7870-4-20	https://polycab.com/cables/standards/international-standards/bs-7870-4-20
industries/cables-by-standards/bs-8592	https://polycab.com/cables/standards/international-standards/bs-8592
industries/cables-by-standards/bs-en-50525-2-51	https://polycab.com/cables/standards/international-standards/bs-en-50525-2-51
industries/cables-by-standards/bsen-50288-7	https://polycab.com/cables/standards/international-standards/bsen-50288-7
industries/cables-by-standards/bsen-50525-2-11	https://polycab.com/cables/standards/international-standards/bsen-50525-2-11
industries/cables-by-standards/bsen-50525-2-21	https://polycab.com/cables/standards/international-standards/bsen-50525-2-21
industries/cables-by-standards/bsen-50525-2-31	https://polycab.com/cables/standards/international-standards/bsen-50525-2-31
industries/cables-by-standards/bsen-50525-2-41	https://polycab.com/cables/standards/international-standards/bsen-50525-2-41
industries/cables-by-standards/bsen-50525-2-81	https://polycab.com/cables/standards/international-standards/bsen-50525-2-81
industries/cables-by-standards/bsen-50525-3-11	https://polycab.com/cables/standards/international-standards/bsen-50525-3-11
industries/cables-by-standards/bsen-50525-3-41	https://polycab.com/cables/standards/international-standards/bsen-50525-3-41
industries/cables-by-standards/bsen-50618	https://polycab.com/cables/standards/international-standards/bsen-50618
industries/cables-by-standards/icea-s-108-720	https://polycab.com/cables/standards/international-standards/icea-s-108-720
industries/cables-by-standards/icea-s-93-639	https://polycab.com/cables/standards/international-standards/icea-s-93-639
industries/cables-by-standards/icea-s-97-682	https://polycab.com/cables/standards/international-standards/icea-s-97-682
industries/cables-by-standards/iec-60092-353	https://polycab.com/cables/standards/international-standards/iec-60092-353
industries/cables-by-standards/iec-60092-354	https://polycab.com/cables/standards/international-standards/iec-60092-354
industries/cables-by-standards/iec-60092-376	https://polycab.com/cables/standards/international-standards/iec-60092-376
industries/cables-by-standards/iec-60227-7	https://polycab.com/cables/standards/international-standards/iec-60227-7
industries/cables-by-standards/iec-60502-1	https://polycab.com/cables/standards/international-standards/iec-60502-1
industries/cables-by-standards/iec-60502-2	https://polycab.com/cables/standards/international-standards/iec-60502-2
industries/cables-by-standards/ul-4703	https://polycab.com/cables/standards/international-standards/ul-4703
industries/cables-by-standards/iec-60840	https://polycab.com/cables/standards/international-standards/iec-60840
industries/cables-by-standards/ieee-1580	https://polycab.com/cables/standards/international-standards/ieee-1580
industries/cables-by-standards/indian-standards	https://polycab.com/cables/standards/indian-standards-is
industries/cables-by-standards/international-standards	https://polycab.com/cables/standards/international-standards
industries/cables-by-standards/is-14255	https://polycab.com/cables/standards/indian-standards-is/is-14255
industries/cables-by-standards/is-17048	https://polycab.com/cables/standards/indian-standards-is/is-17048
industries/cables-by-standards/is-694	https://polycab.com/cables/standards/indian-standards-is/is-694
industries/cables-by-standards/is-7098-i	https://polycab.com/cables/standards/indian-standards-is/is-7098-i
industries/cables-by-standards/ul-44	https://polycab.com/cables/standards/international-standards/ul-44
industries/cables-by-standards/is-7098-ii	https://polycab.com/cables/standards/indian-standards-is/is-7098-ii
industries/cables-by-standards/is-9857	https://polycab.com/cables/standards/indian-standards-is/is-9857
industries/cables-by-standards/is-9968-1	https://polycab.com/cables/standards/indian-standards-is/is-9968-1
industries/cables-by-standards/is-9968-2	https://polycab.com/cables/standards/indian-standards-is/is-9968-2
industries/cables-by-standards/polycab-standard	https://polycab.com/cables/standards/indian-standards-is/polycab-standard
industries/cables-by-standards/rs-485	https://polycab.com/cables/standards/international-standards/rs-485
industries/cables-by-standards/ul-1072	https://polycab.com/cables/standards/international-standards/ul-1072
industries/cables-by-standards/ul-1277	https://polycab.com/cables/standards/international-standards/ul-1277
industries/cables-by-standards/ul-1569	https://polycab.com/cables/standards/international-standards/ul-1569
industries/cables-by-standards/ul-1596	https://polycab.com/cables/standards/international-standards/ul-1596
industries/cables-by-standards/ul-2250	https://polycab.com/cables/standards/international-standards/ul-2250
industries/cables-by-standards/ul-493	https://polycab.com/cables/standards/international-standards/ul-493
industries/cables-by-standards/ul-62	https://polycab.com/cables/standards/international-standards/ul-62
industries/cables-by-standards/ul-719	https://polycab.com/cables/standards/international-standards/ul-719
industries/cables-by-standards/ul-83	https://polycab.com/cables/standards/international-standards/ul-83
industries/cables-by-standards/ul-854	https://polycab.com/cables/standards/international-standards/ul-854
industries/cables-by-type/communication-and-data-cable	https://polycab.com/cables/types/communication-data-cable
industries/cables-by-type/ehv-power-cable	https://polycab.com/cables/types/ehv-power-cable
industries/cables-by-type/instrumentation-cable	https://polycab.com/cables/types/instrumentation-cable
industries/cables-by-type/lv-power-cable	https://polycab.com/cables/types/lv-power-cable
industries/cables-by-type/mv-power-cable	https://polycab.com/cables/types/mv-power-cable
industries/cables-by-type/others/aerial-bunched-cable	https://polycab.com/cables/types/others/aerial-bunched-cable
industries/cables-by-type/others/building-wires	https://polycab.com/cables/types/others/building-wires
industries/cables-by-type/others/control-cable	https://polycab.com/cables/types/others/control-cable
industries/cables-by-type/others/defence	https://polycab.com/cables/types/others/defence
