our_slug	polycab_url
industries/cables-by-application/automation-and-process-control/polycab-01y-k-1100v-ac-is-694-twin-parallel-and-twisted	https://polycab.com/polycab-01y-k-1100v-ac-is-694-twin-parallel-twisted/a-5040/p-55632
industries/cables-by-application/automation-and-process-control/polycab-classic-100-300500v-ac	https://polycab.com/polycab-classic-100-300500v-ac/a-5040/p-55550
cable-terminal/copper	https://polycab.com/elanza-pedestal-fan-400mm-sweep-5-blades-white-grey-with-copper-motor/c-4984/p-53763
conduit-accessories/concealed-box	https://polycab.com/concealed-plastic-box-standard-1-2-module/c-20063/p-56759
industries/cables-by-application/automation-and-process-control/polycab-classic-100-cy-450750v-ac	https://polycab.com/polycab-classic-100-cy-450750v-ac/a-5040/p-55558
industries/cables-by-application/automation-and-process-control/polycab-flexible-cords-type-sjoow-ul-62-300v	https://polycab.com/polycab-flexible-cords-type-sjoow-ul-62-300v/a-5040/p-54971
industries/cables-by-type/others/industrial-cable/polycab-h03s-k-bsen-50525-2-41-sc-300300v-ac	https://polycab.com/polycab-h03s-k-bsen-50525-2-41-sc-300300v-ac/a-5050/p-54937
industries/cables-by-application/aerospace-industry	https://polycab.com/cables/applications/mobility-infrastructure/aerospace-industry
industries/cables-by-application/aerospace-industry/polycab-mv-cu-bs-6622-63511kv	https://polycab.com/polycab-mv-cu-bs-6622-63511kv/a-5051/p-54995
industries/cables-by-application/automation-and-process-control/polycab-02yy-r-1100v-ac-is-694	https://polycab.com/polycab-02yy-r-1100v-ac-is-694/a-5040/p-55630
industries/cables-by-application/automation-and-process-control/polycab-110-cy-iec-60227-7-screened-control-cable-300500v-ac	https://polycab.com/polycab-110-cy-iec-60227-7-screened-control-cable-300500v-ac/a-5040/p-54824
industries/cables-by-application/automation-and-process-control/polycab-al-type-tc-thhnthwn-2-cable-600v	https://polycab.com/polycab-al-type-tc-thhnthwn-2-cable-600v/a-5040/p-54961
industries/cables-by-application/automation-and-process-control/polycab-festoon-flat-15sqmm-multicore-cable	https://polycab.com/polycab-festoon-flat-15sqmm-multicore-cable/a-5040/p-55499
industries/cables-by-application/automation-and-process-control/polycab-classic-110-cy-screened-300500v-ac	https://polycab.com/polycab-classic-110-cy-screened-300500v-ac/a-5040/p-55650
industries/cables-by-application/automation-and-process-control/polycab-classic-100-bk-6001000v-ac	https://polycab.com/polycab-classic-100-bk-6001000v-ac/a-5040/p-55562
industries/cables-by-application/automation-and-process-control/polycab-classic-100-cy-300500v-ac	https://polycab.com/polycab-classic-100-cy-300500v-ac/a-5040/p-55552
industries/cables-by-application/automation-and-process-control/polycab-classic-100-sy-300500v-ac	https://polycab.com/polycab-classic-100-sy-300500v-ac/a-5040/p-55554
industries/cables-by-application/automation-and-process-control/polycab-classic-110-300500v-ac	https://polycab.com/polycab-classic-110-300500v-ac/a-5040/p-55602
industries/cables-by-application/automation-and-process-control/polycab-classic-110-bk-300500v-ac	https://polycab.com/polycab-classic-110-bk-300500v-ac/a-5040/p-55598
industries/cables-by-application/automation-and-process-control/polycab-classic-110-orange-300500v-ac	https://polycab.com/polycab-classic-110-orange-300500v-ac/a-5040/p-55604
industries/cables-by-application/automation-and-process-control/polycab-festoon-flat-4sqmm-multicore-cable	https://polycab.com/polycab-festoon-flat-4sqmm-multicore-cable/a-5040/p-55503
industries/cables-by-application/automation-and-process-control/polycab-cu-type-tctc-er-thhnthwn-2-16-awg-tray-cable	https://polycab.com/polycab-cu-type-tctc-er-thhnthwn-2-16-awg-tray-cable/a-3904/p-54959
industries/cables-by-application/automation-and-process-control/polycab-cu-type-tctc-er-xhhw-2-tray-cable	https://polycab.com/polycab-cu-type-tctc-er-xhhw-2-tray-cable/a-3904/p-54977
industries/cables-by-application/automation-and-process-control/polycab-festoon-flat-05sqmm-multicore-cable	https://polycab.com/polycab-festoon-flat-05sqmm-multicore-cable/a-5040/p-55493
industries/cables-by-application/automation-and-process-control/polycab-festoon-flat-075sqmm-multicore-cable	https://polycab.com/polycab-festoon-flat-075sqmm-multicore-cable/a-5040/p-55495
industries/cables-by-application/automation-and-process-control/polycab-festoon-flat-25sqmm-multicore-cable	https://polycab.com/polycab-festoon-flat-25sqmm-multicore-cable/a-5040/p-55501
industries/cables-by-application/automation-and-process-control/polycab-flexible-cords-type-soow-ul-62-600v	https://polycab.com/polycab-flexible-cords-type-soow-ul-62-600v/a-5040/p-54973
industries/cables-by-application/automation-and-process-control/polycab-h03vv-f-bsen-50525-2-11-mc-300300v-ac	https://polycab.com/polycab-h03vv-f-bsen-50525-2-11-mc-300300v-ac/a-5040/p-55538
industries/cables-by-application/automation-and-process-control/polycab-h03vvh2-f-bsen-50525-2-11-mc-300300v-ac	https://polycab.com/polycab-h03vvh2-f-bsen-50525-2-11-mc-300300v-ac/a-5040/p-55540
industries/cables-by-application/automation-and-process-control/polycab-h05v2-kh07v2-k-bsen-50525-2-31-sc-300500vand450750v-ac	https://polycab.com/polycab-h05v2-kh07v2-k-bsen-50525-2-31-sc-300500v450750v-ac/a-5040/p-55327
industries/cables-by-application/automation-and-process-control/polycab-h05v2v2d3-f-bsen-50525-2-11-mc-300500v-ac	https://polycab.com/polycab-h05v2v2d3-f-bsen-50525-2-11-mc-300500v-ac/a-5040/p-55542
industries/cables-by-application/automation-and-process-control/polycab-h05vv-f-bsen-50525-2-11-mc-300500v-ac	https://polycab.com/polycab-h05vv-f-bsen-50525-2-11-mc-300500v-ac/a-5040/p-54913
industries/cables-by-application/automation-and-process-control/polycab-h03z1z1-f-bsen-50525-3-11-300300v-ac	https://polycab.com/polycab-h03z1z1-f-bsen-50525-3-11-300300v-ac/a-5040/p-55594
industries/cables-by-application/automation-and-process-control	https://polycab.com/cables/applications/manufacturing-industries/automation-process-control
industries/cables-by-application/building-infrastructure	https://polycab.com/cables/applications/building-infrastructure
industries/cables-by-application/automation-and-process-control/polycab-h05z-uh07z-u-bsen-50525-3-41-sc-300500vand450750v-ac	https://polycab.com/polycab-h05z-uh07z-u-bsen-50525-3-41-sc-300500v450750v-ac/a-5040/p-55323
industries/cables-by-application/automation-and-process-control/polycab-h07v-uh07v-r-bsen-50525-2-31-sc-450750v-ac	https://polycab.com/polycab-h07v-uh07v-r-bsen-50525-2-31-sc-450750v-ac/a-5040/p-55331
industries/cables-by-application/automation-and-process-control/polycab-rs-485-300500v-ac-unarmoured-cable	https://polycab.com/polycab-rs-485-300500v-ac-unarmoured-cable/a-5040/p-55652
industries/cables-by-application/automation-and-process-control/polycab-type-bk-bs-6231-switch-gear-and-control-gear-wiring-061kv-ac	https://polycab.com/polycab-type-bk-bs-6231-switch-gear-control-gear-wiring-061kv-ac/a-5040/p-54834
industries/cables-by-application/automation-and-process-control/polycab-h07z-r-bsen-50525-3-41-450750v-ac	https://polycab.com/polycab-h07z-r-bsen-50525-3-41-450750v-ac/a-5040/p-55321
